sid,schid,condition,tch_experience,sex,freelunch,race,content_area,score
25,27,regular.with.aide,10,boy,yes,black,math,576
25,27,regular.with.aide,10,boy,yes,black,reading,463
26,17,regular.with.aide,8,girl,no,black,math,520
26,17,regular.with.aide,8,girl,no,black,reading,425
27,9,regular,8,girl,no,white,math,559
27,9,regular,8,girl,no,white,reading,522
28,39,regular.with.aide,5,girl,no,white,math,459
28,39,regular.with.aide,5,girl,no,white,reading,413
29,55,regular,13,boy,no,white,math,513
29,55,regular,13,boy,no,white,reading,416
30,27,regular,0,girl,yes,black,math,423
30,27,regular,0,girl,yes,black,reading,419
31,58,regular.with.aide,3,girl,no,white,math,494
31,58,regular.with.aide,3,girl,no,white,reading,431
32,49,small.class,8,boy,no,white,math,439
32,49,small.class,8,boy,no,white,reading,418
33,7,regular,15,girl,yes,black,math,434
33,7,regular,15,girl,yes,black,reading,422
34,5,small.class,8,girl,yes,black,math,434
34,5,small.class,8,girl,yes,black,reading,414
35,37,regular.with.aide,11,boy,yes,black,math,454
35,37,regular.with.aide,11,boy,yes,black,reading,433
36,70,regular,10,girl,no,white,math,484
36,70,regular,10,girl,no,white,reading,450
37,40,small.class,4,girl,yes,white,math,559
37,40,small.class,4,girl,yes,white,reading,458
38,9,small.class,7,girl,no,white,math,459
38,9,small.class,7,girl,no,white,reading,445
39,48,small.class,17,boy,no,white,math,506
39,48,small.class,17,boy,no,white,reading,439
40,10,small.class,12,boy,no,white,math,576
40,10,small.class,12,boy,no,white,reading,476
41,80,regular,4,girl,no,white,math,484
41,80,regular,4,girl,no,white,reading,467
42,28,regular.with.aide,10,girl,yes,black,math,434
42,28,regular.with.aide,10,girl,yes,black,reading,416
43,43,small.class,0,boy,no,white,math,528
43,43,small.class,0,boy,no,white,reading,480
44,41,regular.with.aide,16,girl,no,white,math,478
44,41,regular.with.aide,16,girl,no,white,reading,437
45,41,small.class,18,boy,no,white,math,602
45,41,small.class,18,boy,no,white,reading,465
46,40,small.class,4,girl,yes,white,math,439
46,40,small.class,4,girl,yes,white,reading,407
47,27,regular,12,girl,no,black,math,547
47,27,regular,12,girl,no,black,reading,487
48,61,regular.with.aide,8,boy,no,white,math,489
48,61,regular.with.aide,8,boy,no,white,reading,425
49,21,small.class,14,girl,no,white,math,500
49,21,small.class,14,girl,no,white,reading,447
50,8,small.class,13,girl,no,white,math,468
50,8,small.class,13,girl,no,white,reading,430
51,21,small.class,14,girl,no,white,math,547
51,21,small.class,14,girl,no,white,reading,480
52,47,regular,5,girl,no,white,math,513
52,47,regular,5,girl,no,white,reading,440
53,11,regular.with.aide,13,boy,no,black,math,405
53,11,regular.with.aide,13,boy,no,black,reading,410
54,35,small.class,5,girl,no,white,math,506
54,35,small.class,5,girl,no,white,reading,413
55,21,regular,1,girl,yes,black,math,513
55,21,regular,1,girl,yes,black,reading,422
56,24,small.class,5,girl,no,black,math,559
56,24,small.class,5,girl,no,black,reading,442
57,27,regular.with.aide,10,girl,yes,black,math,547
57,27,regular.with.aide,10,girl,yes,black,reading,461
58,33,regular.with.aide,22,boy,yes,black,math,454
58,33,regular.with.aide,22,boy,yes,black,reading,421
59,19,small.class,2,girl,yes,black,math,494
59,19,small.class,2,girl,yes,black,reading,410
60,30,small.class,2,girl,no,black,math,626
60,30,small.class,2,girl,no,black,reading,465
61,49,regular,11,boy,no,white,math,500
61,49,regular,11,boy,no,white,reading,436
62,39,regular.with.aide,5,boy,yes,white,math,449
62,39,regular.with.aide,5,boy,yes,white,reading,398
63,61,regular.with.aide,8,girl,no,white,math,528
63,61,regular.with.aide,8,girl,no,white,reading,442
64,9,regular.with.aide,11,boy,no,white,math,500
64,9,regular.with.aide,11,boy,no,white,reading,461
65,50,regular,13,boy,yes,white,math,506
65,50,regular,13,boy,yes,white,reading,436
66,17,small.class,5,boy,no,white,math,473
66,17,small.class,5,boy,no,white,reading,428
67,31,regular,0,boy,yes,black,math,444
67,31,regular,0,boy,yes,black,reading,411
68,39,regular.with.aide,5,boy,no,white,math,459
68,39,regular.with.aide,5,boy,no,white,reading,436
69,46,small.class,4,girl,no,white,math,463
69,46,small.class,4,girl,no,white,reading,436
70,12,regular.with.aide,12,boy,no,white,math,559
70,12,regular.with.aide,12,boy,no,white,reading,428
71,1,regular,5,boy,no,white,math,536
71,1,regular,5,boy,no,white,reading,472
72,45,regular.with.aide,11,boy,yes,black,math,473
72,45,regular.with.aide,11,boy,yes,black,reading,434
73,78,small.class,8,boy,no,white,math,500
73,78,small.class,8,boy,no,white,reading,443
74,39,small.class,2,boy,yes,white,math,520
74,39,small.class,2,boy,yes,white,reading,424
75,33,regular.with.aide,22,boy,yes,black,math,473
75,33,regular.with.aide,22,boy,yes,black,reading,418
76,22,regular,11,boy,yes,black,math,500
76,22,regular,11,boy,yes,black,reading,428
77,32,small.class,14,boy,yes,black,math,468
77,32,small.class,14,boy,yes,black,reading,440
78,4,regular.with.aide,7,boy,no,white,math,513
78,4,regular.with.aide,7,boy,no,white,reading,436
79,14,small.class,13,boy,no,black,math,506
79,14,small.class,13,boy,no,black,reading,433
80,17,regular.with.aide,8,boy,no,white,math,473
80,17,regular.with.aide,8,boy,no,white,reading,448
81,44,small.class,3,boy,yes,black,math,506
81,44,small.class,3,boy,yes,black,reading,474
82,7,regular,15,boy,yes,black,math,484
82,7,regular,15,boy,yes,black,reading,414
83,71,small.class,20,girl,no,white,math,468
83,71,small.class,20,girl,no,white,reading,411
84,23,small.class,11,girl,no,black,math,468
84,23,small.class,11,girl,no,black,reading,422
85,71,small.class,20,girl,no,white,math,412
85,71,small.class,20,girl,no,white,reading,395
86,24,regular,6,girl,yes,black,math,459
86,24,regular,6,girl,yes,black,reading,407
87,64,regular,11,girl,no,white,math,506
87,64,regular,11,girl,no,white,reading,472
88,2,small.class,12,girl,yes,white,math,463
88,2,small.class,12,girl,yes,white,reading,402
89,71,regular,6,girl,no,white,math,500
89,71,regular,6,girl,no,white,reading,428
90,8,regular,12,boy,no,white,math,463
90,8,regular,12,boy,no,white,reading,413
91,25,regular,18,boy,yes,white,math,468
91,25,regular,18,boy,yes,white,reading,443
92,9,regular.with.aide,14,boy,yes,white,math,434
92,9,regular.with.aide,14,boy,yes,white,reading,418
93,73,small.class,2,boy,yes,white,math,418
93,73,small.class,2,boy,yes,white,reading,403
94,61,small.class,11,girl,yes,white,math,484
94,61,small.class,11,girl,yes,white,reading,442
95,16,small.class,1,girl,yes,black,math,528
95,16,small.class,1,girl,yes,black,reading,443
96,2,regular.with.aide,17,boy,no,black,math,494
96,2,regular.with.aide,17,boy,no,black,reading,410
97,19,regular.with.aide,0,girl,yes,black,math,439
97,19,regular.with.aide,0,girl,yes,black,reading,403
98,48,small.class,17,boy,yes,white,math,489
98,48,small.class,17,boy,yes,white,reading,433
99,67,regular,0,boy,no,white,math,528
99,67,regular,0,boy,no,white,reading,422
100,70,regular.with.aide,27,boy,no,white,math,536
100,70,regular.with.aide,27,boy,no,white,reading,434
101,24,small.class,13,girl,yes,black,math,468
101,24,small.class,13,girl,yes,black,reading,433
102,48,small.class,17,girl,no,white,math,559
102,48,small.class,17,girl,no,white,reading,440
103,64,regular,20,boy,no,white,math,559
103,64,regular,20,boy,no,white,reading,461
104,43,regular.with.aide,17,girl,no,white,math,459
104,43,regular.with.aide,17,girl,no,white,reading,413
105,13,small.class,4,boy,yes,white,math,559
105,13,small.class,4,boy,yes,white,reading,445
106,42,regular.with.aide,3,boy,no,white,math,536
106,42,regular.with.aide,3,boy,no,white,reading,507
107,66,small.class,15,girl,no,white,math,576
107,66,small.class,15,girl,no,white,reading,490
108,13,regular,6,girl,no,white,math,536
108,13,regular,6,girl,no,white,reading,451
109,1,regular,10,girl,no,white,math,536
109,1,regular,10,girl,no,white,reading,474
110,33,regular.with.aide,22,boy,yes,black,math,429
110,33,regular.with.aide,22,boy,yes,black,reading,414
111,7,small.class,4,boy,no,white,math,423
111,7,small.class,4,boy,no,white,reading,400
112,69,regular,16,girl,no,white,math,489
112,69,regular,16,girl,no,white,reading,468
113,5,regular,8,boy,no,white,math,399
113,5,regular,8,boy,no,white,reading,386
114,19,regular,6,boy,yes,black,math,478
114,19,regular,6,boy,yes,black,reading,424
115,57,regular.with.aide,8,girl,yes,white,math,473
115,57,regular.with.aide,8,girl,yes,white,reading,430
116,7,regular,15,girl,yes,white,math,520
116,7,regular,15,girl,yes,white,reading,453
117,30,regular,10,boy,no,black,math,528
117,30,regular,10,boy,no,black,reading,456
118,65,small.class,15,boy,no,white,math,576
118,65,small.class,15,boy,no,white,reading,451
119,57,small.class,8,girl,no,white,math,484
119,57,small.class,8,girl,no,white,reading,440
120,3,small.class,10,girl,yes,white,math,459
120,3,small.class,10,girl,yes,white,reading,445
121,36,regular.with.aide,14,girl,no,white,math,468
121,36,regular.with.aide,14,girl,no,white,reading,445
122,3,regular.with.aide,9,girl,yes,white,math,468
122,3,regular.with.aide,9,girl,yes,white,reading,402
123,79,regular.with.aide,12,girl,no,white,math,484
123,79,regular.with.aide,12,girl,no,white,reading,414
124,43,regular,3,girl,no,white,math,478
124,43,regular,3,girl,no,white,reading,421
125,19,small.class,6,girl,yes,black,math,449
125,19,small.class,6,girl,yes,black,reading,408
126,19,regular.with.aide,1,girl,yes,black,math,454
126,19,regular.with.aide,1,girl,yes,black,reading,393
127,19,small.class,6,boy,yes,black,math,429
127,19,small.class,6,boy,yes,black,reading,398
128,60,small.class,1,girl,no,white,math,513
128,60,small.class,1,girl,no,white,reading,450
129,59,regular.with.aide,8,girl,no,white,math,468
129,59,regular.with.aide,8,girl,no,white,reading,445
130,51,regular,13,boy,yes,white,math,500
130,51,regular,13,boy,yes,white,reading,424
131,68,regular.with.aide,10,girl,no,white,math,500
131,68,regular.with.aide,10,girl,no,white,reading,467
132,8,small.class,13,boy,no,white,math,459
132,8,small.class,13,boy,no,white,reading,400
133,12,small.class,9,girl,yes,white,math,513
133,12,small.class,9,girl,yes,white,reading,434
134,39,regular.with.aide,5,girl,yes,white,math,418
134,39,regular.with.aide,5,girl,yes,white,reading,390
135,76,regular.with.aide,13,girl,no,white,math,473
135,76,regular.with.aide,13,girl,no,white,reading,416
136,3,regular,8,girl,yes,white,math,449
136,3,regular,8,girl,yes,white,reading,425
137,27,regular,6,girl,yes,black,math,463
137,27,regular,6,girl,yes,black,reading,470
138,11,regular,11,girl,yes,white,math,459
138,11,regular,11,girl,yes,white,reading,472
139,3,regular,8,boy,no,white,math,528
139,3,regular,8,boy,no,white,reading,428
140,27,regular.with.aide,20,girl,yes,black,math,489
140,27,regular.with.aide,20,girl,yes,black,reading,470
141,72,regular,8,boy,yes,white,math,559
141,72,regular,8,boy,yes,white,reading,439
142,34,regular.with.aide,5,girl,no,white,math,494
142,34,regular.with.aide,5,girl,no,white,reading,430
143,3,regular.with.aide,9,boy,no,black,math,506
143,3,regular.with.aide,9,boy,no,black,reading,467
144,72,regular.with.aide,10,girl,yes,white,math,536
144,72,regular.with.aide,10,girl,yes,white,reading,470
145,25,regular,18,girl,yes,black,math,494
145,25,regular,18,girl,yes,black,reading,434
146,24,regular.with.aide,10,boy,no,black,math,484
146,24,regular.with.aide,10,boy,no,black,reading,434
147,45,small.class,3,boy,yes,black,math,412
147,45,small.class,3,boy,yes,black,reading,397
148,50,small.class,12,boy,no,white,math,559
148,50,small.class,12,boy,no,white,reading,445
149,58,regular.with.aide,3,girl,no,white,math,506
149,58,regular.with.aide,3,girl,no,white,reading,421
150,29,small.class,5,girl,yes,black,math,489
150,29,small.class,5,girl,yes,black,reading,408
151,49,regular.with.aide,9,boy,no,white,math,547
151,49,regular.with.aide,9,boy,no,white,reading,565
152,62,small.class,6,girl,no,white,math,500
152,62,small.class,6,girl,no,white,reading,428
153,20,regular.with.aide,12,girl,no,black,math,473
153,20,regular.with.aide,12,girl,no,black,reading,390
154,66,regular,8,girl,yes,white,math,434
154,66,regular,8,girl,yes,white,reading,405
155,42,small.class,10,girl,no,white,math,489
155,42,small.class,10,girl,no,white,reading,447
156,78,small.class,8,boy,yes,white,math,444
156,78,small.class,8,boy,yes,white,reading,407
157,33,regular.with.aide,22,girl,yes,black,math,418
157,33,regular.with.aide,22,girl,yes,black,reading,414
158,76,regular,2,boy,no,white,math,489
158,76,regular,2,boy,no,white,reading,434
159,22,regular,11,girl,yes,black,math,576
159,22,regular,11,girl,yes,black,reading,456
160,27,regular,0,boy,yes,black,math,463
160,27,regular,0,boy,yes,black,reading,418
161,42,regular,14,girl,yes,white,math,473
161,42,regular,14,girl,yes,white,reading,433
162,27,regular.with.aide,20,girl,yes,black,math,489
162,27,regular.with.aide,20,girl,yes,black,reading,465
163,20,regular.with.aide,1,boy,yes,black,math,459
163,20,regular.with.aide,1,boy,yes,black,reading,434
164,59,regular,0,boy,no,white,math,520
164,59,regular,0,boy,no,white,reading,427
165,22,regular.with.aide,7,girl,yes,black,math,484
165,22,regular.with.aide,7,girl,yes,black,reading,437
166,63,small.class,7,boy,no,white,math,513
166,63,small.class,7,boy,no,white,reading,503
167,28,regular,7,boy,yes,black,math,468
167,28,regular,7,boy,yes,black,reading,442
168,21,regular.with.aide,15,boy,yes,black,math,478
168,21,regular.with.aide,15,boy,yes,black,reading,414
169,54,regular.with.aide,7,boy,no,black,math,418
169,54,regular.with.aide,7,boy,no,black,reading,421
170,31,regular,0,girl,yes,black,math,513
170,31,regular,0,girl,yes,black,reading,421
171,56,small.class,21,girl,no,white,math,506
171,56,small.class,21,girl,no,white,reading,431
172,31,regular,0,boy,yes,black,math,576
172,31,regular,0,boy,yes,black,reading,450
173,10,regular.with.aide,12,girl,no,black,math,459
173,10,regular.with.aide,12,girl,no,black,reading,425
174,80,small.class,12,boy,yes,white,math,520
174,80,small.class,12,boy,yes,white,reading,428
175,3,regular.with.aide,20,girl,yes,white,math,576
175,3,regular.with.aide,20,girl,yes,white,reading,456
176,34,regular.with.aide,5,boy,no,white,math,559
176,34,regular.with.aide,5,boy,no,white,reading,605
177,28,regular.with.aide,10,girl,yes,black,math,412
177,28,regular.with.aide,10,girl,yes,black,reading,416
178,75,regular.with.aide,11,boy,yes,white,math,489
178,75,regular.with.aide,11,boy,yes,white,reading,395
179,27,regular,12,girl,yes,black,math,528
179,27,regular,12,girl,yes,black,reading,467
180,53,regular.with.aide,9,boy,yes,black,math,444
180,53,regular.with.aide,9,boy,yes,black,reading,390
181,17,regular,0,boy,no,other,math,454
181,17,regular,0,boy,no,other,reading,413
182,20,regular.with.aide,1,girl,no,black,math,500
182,20,regular.with.aide,1,girl,no,black,reading,440
183,57,small.class,1,boy,no,white,math,444
183,57,small.class,1,boy,no,white,reading,410
184,65,regular.with.aide,9,girl,yes,white,math,478
184,65,regular.with.aide,9,girl,yes,white,reading,445
185,58,small.class,5,boy,no,white,math,536
185,58,small.class,5,boy,no,white,reading,453
186,44,small.class,3,girl,yes,black,math,513
186,44,small.class,3,girl,yes,black,reading,483
187,17,regular.with.aide,8,girl,no,black,math,478
187,17,regular.with.aide,8,girl,no,black,reading,407
188,26,small.class,1,girl,yes,black,math,468
188,26,small.class,1,girl,yes,black,reading,411
189,57,regular,2,boy,yes,white,math,463
189,57,regular,2,boy,yes,white,reading,397
190,43,regular.with.aide,17,boy,no,other,math,547
190,43,regular.with.aide,17,boy,no,other,reading,455
191,55,regular.with.aide,13,girl,no,white,math,484
191,55,regular.with.aide,13,girl,no,white,reading,413
192,53,regular.with.aide,9,girl,yes,white,math,468
192,53,regular.with.aide,9,girl,yes,white,reading,407
193,5,regular.with.aide,8,boy,no,white,math,468
193,5,regular.with.aide,8,boy,no,white,reading,402
194,48,regular.with.aide,13,girl,yes,white,math,449
194,48,regular.with.aide,13,girl,yes,white,reading,424
195,65,regular.with.aide,9,girl,yes,white,math,489
195,65,regular.with.aide,9,girl,yes,white,reading,440
196,63,regular,10,boy,yes,white,math,478
196,63,regular,10,boy,yes,white,reading,421
197,42,regular,14,girl,no,white,math,559
197,42,regular,14,girl,no,white,reading,554
198,24,regular.with.aide,10,girl,yes,black,math,484
198,24,regular.with.aide,10,girl,yes,black,reading,439
199,32,regular,2,boy,yes,black,math,449
199,32,regular,2,boy,yes,black,reading,411
200,26,small.class,1,boy,no,black,math,454
200,26,small.class,1,boy,no,black,reading,425
201,54,regular.with.aide,7,boy,no,black,math,478
201,54,regular.with.aide,7,boy,no,black,reading,427
202,1,regular.with.aide,9,boy,no,white,math,454
202,1,regular.with.aide,9,boy,no,white,reading,439
203,7,small.class,4,boy,no,white,math,484
203,7,small.class,4,boy,no,white,reading,458
204,49,regular.with.aide,9,girl,no,white,math,484
204,49,regular.with.aide,9,girl,no,white,reading,430
205,15,regular,11,boy,yes,black,math,454
205,15,regular,11,boy,yes,black,reading,408
206,37,small.class,1,girl,yes,black,math,429
206,37,small.class,1,girl,yes,black,reading,407
207,67,regular,0,boy,yes,white,math,513
207,67,regular,0,boy,yes,white,reading,433
208,7,regular,0,boy,yes,white,math,473
208,7,regular,0,boy,yes,white,reading,436
209,56,small.class,3,girl,no,black,math,423
209,56,small.class,3,girl,no,black,reading,418
210,26,regular,15,girl,yes,black,math,463
210,26,regular,15,girl,yes,black,reading,443
211,44,small.class,3,girl,yes,black,math,478
211,44,small.class,3,girl,yes,black,reading,403
212,55,regular,13,girl,no,white,math,459
212,55,regular,13,girl,no,white,reading,419
213,72,regular.with.aide,10,girl,yes,white,math,459
213,72,regular.with.aide,10,girl,yes,white,reading,408
214,53,regular,3,boy,no,black,math,478
214,53,regular,3,boy,no,black,reading,433
215,66,regular.with.aide,3,boy,no,white,math,423
215,66,regular.with.aide,3,boy,no,white,reading,411
216,63,regular,10,boy,no,white,math,559
216,63,regular,10,boy,no,white,reading,503
217,11,regular,11,girl,yes,white,math,449
217,11,regular,11,girl,yes,white,reading,463
218,42,regular.with.aide,3,girl,no,white,math,463
218,42,regular.with.aide,3,girl,no,white,reading,388
219,34,regular.with.aide,5,boy,no,white,math,449
219,34,regular.with.aide,5,boy,no,white,reading,414
220,75,regular.with.aide,11,boy,no,white,math,459
220,75,regular.with.aide,11,boy,no,white,reading,390
221,2,small.class,12,boy,yes,white,math,454
221,2,small.class,12,boy,yes,white,reading,413
222,36,regular.with.aide,14,boy,yes,white,math,494
222,36,regular.with.aide,14,boy,yes,white,reading,470
223,16,regular.with.aide,6,boy,yes,black,math,434
223,16,regular.with.aide,6,boy,yes,black,reading,405
224,23,small.class,11,boy,no,black,math,547
224,23,small.class,11,boy,no,black,reading,442
225,5,regular,8,girl,yes,white,math,429
225,5,regular,8,girl,yes,white,reading,393
226,52,regular.with.aide,18,girl,no,white,math,494
226,52,regular.with.aide,18,girl,no,white,reading,418
227,62,regular,16,girl,no,white,math,500
227,62,regular,16,girl,no,white,reading,443
228,14,regular.with.aide,1,boy,yes,black,math,468
228,14,regular.with.aide,1,boy,yes,black,reading,428
229,36,regular,15,boy,no,white,math,444
229,36,regular,15,boy,no,white,reading,410
230,63,regular,10,girl,yes,white,math,500
230,63,regular,10,girl,yes,white,reading,437
231,27,regular.with.aide,20,boy,no,black,math,506
231,27,regular.with.aide,20,boy,no,black,reading,461
232,21,regular,1,boy,yes,white,math,528
232,21,regular,1,boy,yes,white,reading,472
233,22,small.class,9,boy,yes,black,math,506
233,22,small.class,9,boy,yes,black,reading,434
234,70,small.class,15,boy,no,white,math,439
234,70,small.class,15,boy,no,white,reading,427
235,72,regular,8,boy,yes,white,math,559
235,72,regular,8,boy,yes,white,reading,453
236,20,regular,4,girl,yes,black,math,478
236,20,regular,4,girl,yes,black,reading,418
237,39,regular,4,girl,yes,white,math,494
237,39,regular,4,girl,yes,white,reading,445
238,51,small.class,16,boy,no,black,math,484
238,51,small.class,16,boy,no,black,reading,463
239,54,regular,13,girl,no,white,math,484
239,54,regular,13,girl,no,white,reading,437
240,39,regular,4,boy,yes,white,math,468
240,39,regular,4,boy,yes,white,reading,411
241,12,small.class,9,boy,yes,white,math,528
241,12,small.class,9,boy,yes,white,reading,434
242,60,regular,13,girl,no,black,math,439
242,60,regular,13,girl,no,black,reading,433
243,20,regular.with.aide,1,girl,yes,black,math,506
243,20,regular.with.aide,1,girl,yes,black,reading,456
244,18,regular,9,girl,no,black,math,459
244,18,regular,9,girl,no,black,reading,398
245,39,regular,4,boy,yes,white,math,559
245,39,regular,4,boy,yes,white,reading,463
246,25,small.class,12,boy,yes,black,math,576
246,25,small.class,12,boy,yes,black,reading,470
247,64,regular,11,boy,no,white,math,439
247,64,regular,11,boy,no,white,reading,411
248,27,small.class,1,girl,yes,black,math,500
248,27,small.class,1,girl,yes,black,reading,413
249,57,regular.with.aide,8,girl,no,white,math,520
249,57,regular.with.aide,8,girl,no,white,reading,440
250,32,regular,2,girl,yes,black,math,459
250,32,regular,2,girl,yes,black,reading,395
251,59,small.class,11,boy,no,white,math,489
251,59,small.class,11,boy,no,white,reading,434
252,54,regular,13,boy,no,white,math,528
252,54,regular,13,boy,no,white,reading,492
253,21,small.class,14,girl,yes,white,math,559
253,21,small.class,14,girl,yes,white,reading,465
254,72,small.class,6,girl,yes,white,math,473
254,72,small.class,6,girl,yes,white,reading,448
255,51,regular,11,boy,no,white,math,405
255,51,regular,11,boy,no,white,reading,411
256,65,regular,12,girl,no,white,math,602
256,65,regular,12,girl,no,white,reading,518
257,62,small.class,6,boy,yes,white,math,484
257,62,small.class,6,boy,yes,white,reading,422
258,7,small.class,4,boy,no,white,math,547
258,7,small.class,4,boy,no,white,reading,470
259,21,regular.with.aide,15,boy,yes,black,math,484
259,21,regular.with.aide,15,boy,yes,black,reading,443
260,34,regular.with.aide,5,girl,yes,white,math,449
260,34,regular.with.aide,5,girl,yes,white,reading,428
261,53,small.class,9,boy,yes,black,math,454
261,53,small.class,9,boy,yes,black,reading,397
262,57,small.class,1,boy,no,white,math,459
262,57,small.class,1,boy,no,white,reading,390
263,19,regular.with.aide,1,boy,yes,black,math,473
263,19,regular.with.aide,1,boy,yes,black,reading,418
264,68,regular,10,boy,yes,black,math,484
264,68,regular,10,boy,yes,black,reading,470
265,66,regular.with.aide,3,girl,yes,white,math,513
265,66,regular.with.aide,3,girl,yes,white,reading,431
266,50,small.class,12,girl,no,black,math,536
266,50,small.class,12,girl,no,black,reading,580
267,58,small.class,8,girl,no,white,math,478
267,58,small.class,8,girl,no,white,reading,456
268,23,regular.with.aide,21,girl,no,black,math,513
268,23,regular.with.aide,21,girl,no,black,reading,433
269,80,small.class,12,girl,no,white,math,473
269,80,small.class,12,girl,no,white,reading,403
270,43,small.class,15,boy,no,white,math,473
270,43,small.class,15,boy,no,white,reading,408
271,74,regular.with.aide,8,girl,yes,white,math,478
271,74,regular.with.aide,8,girl,yes,white,reading,416
272,22,regular,1,girl,yes,black,math,484
272,22,regular,1,girl,yes,black,reading,443
273,17,small.class,20,boy,no,white,math,459
273,17,small.class,20,boy,no,white,reading,421
274,69,small.class,6,boy,no,white,math,536
274,69,small.class,6,boy,no,white,reading,442
275,49,regular.with.aide,9,girl,yes,white,math,528
275,49,regular.with.aide,9,girl,yes,white,reading,424
276,18,regular,9,boy,no,black,math,484
276,18,regular,9,boy,no,black,reading,421
277,1,regular,5,boy,no,white,math,494
277,1,regular,5,boy,no,white,reading,450
278,16,regular.with.aide,6,boy,yes,black,math,418
278,16,regular.with.aide,6,boy,yes,black,reading,397
279,27,regular,0,girl,yes,black,math,439
279,27,regular,0,girl,yes,black,reading,450
280,20,regular,4,boy,yes,black,math,473
280,20,regular,4,boy,yes,black,reading,410
281,74,small.class,14,girl,no,white,math,626
281,74,small.class,14,girl,no,white,reading,510
282,45,regular,12,boy,yes,black,math,423
282,45,regular,12,boy,yes,black,reading,418
283,33,regular.with.aide,22,girl,yes,black,math,444
283,33,regular.with.aide,22,girl,yes,black,reading,408
284,34,small.class,2,girl,no,white,math,500
284,34,small.class,2,girl,no,white,reading,467
285,67,regular.with.aide,13,boy,yes,white,math,444
285,67,regular.with.aide,13,boy,yes,white,reading,424
286,4,regular,8,boy,no,white,math,468
286,4,regular,8,boy,no,white,reading,436
287,63,regular,6,girl,yes,black,math,536
287,63,regular,6,girl,yes,black,reading,447
288,44,small.class,3,boy,no,white,math,494
288,44,small.class,3,boy,no,white,reading,468
289,55,small.class,15,girl,no,white,math,473
289,55,small.class,15,girl,no,white,reading,430
290,63,regular.with.aide,12,boy,yes,black,math,454
290,63,regular.with.aide,12,boy,yes,black,reading,388
291,25,regular.with.aide,2,girl,yes,white,math,449
291,25,regular.with.aide,2,girl,yes,white,reading,422
292,3,regular.with.aide,9,boy,no,white,math,463
292,3,regular.with.aide,9,boy,no,white,reading,424
293,34,regular,17,girl,no,white,math,489
293,34,regular,17,girl,no,white,reading,442
294,52,small.class,14,boy,no,white,math,429
294,52,small.class,14,boy,no,white,reading,418
295,58,regular.with.aide,17,girl,no,white,math,454
295,58,regular.with.aide,17,girl,no,white,reading,447
296,41,regular,15,girl,no,white,math,536
296,41,regular,15,girl,no,white,reading,485
297,26,regular.with.aide,6,boy,yes,black,math,468
297,26,regular.with.aide,6,boy,yes,black,reading,407
298,17,regular.with.aide,8,girl,no,white,math,500
298,17,regular.with.aide,8,girl,no,white,reading,431
299,49,regular.with.aide,9,boy,yes,white,math,484
299,49,regular.with.aide,9,boy,yes,white,reading,448
300,20,regular,4,girl,yes,black,math,547
300,20,regular,4,girl,yes,black,reading,450
301,80,regular.with.aide,13,girl,no,white,math,536
301,80,regular.with.aide,13,girl,no,white,reading,465
302,56,regular,3,boy,no,white,math,454
302,56,regular,3,boy,no,white,reading,408
